nikkei_event_date,nikkei_event_type,code,ticker,company,sector,normalized_top30_weight,component_breakdown20,component_breakdown60,component_volume_down,component_breakdown20_volume_confirmed,component_breakdown60_volume_confirmed,component_near_support20,component_low_volume_pullback,component_volume_ratio_60d,component_1d_return
2022-06-17,volume_down_day,6988,6988.T,NITTO DENKO CORP.,Materials,0.01569411,False,False,True,False,False,False,False,1.288883,-0.02878465
2022-06-17,volume_down_day,4062,4062.T,"IBIDEN CO., LTD.",Technology,0.01510409,True,True,True,True,True,False,False,1.907187,-0.06000000
2022-06-17,volume_down_day,6920,6920.T,LASERTEC CORP.,Technology,0.01366583,True,True,True,True,True,False,False,1.342820,-0.08195266
2022-06-17,volume_down_day,7741,7741.T,HOYA CORP.,Technology,0.01360010,True,True,True,True,True,False,False,1.900736,-0.06247481
2022-06-17,volume_down_day,4503,4503.T,ASTELLAS PHARMA INC.,Technology,0.01290366,False,False,True,False,False,False,False,1.645575,-0.01567554
2022-06-17,volume_down_day,6146,6146.T,DISCO CORP.,Technology,0.01254683,True,False,True,True,False,False,False,1.433999,-0.03110426
2022-06-17,volume_down_day,9735,9735.T,"SECOM CO., LTD.",Consumer Goods,0.01236686,False,False,False,False,False,True,False,1.200443,0.00208666
2022-06-17,volume_down_day,8031,8031.T,"MITSUI & CO., LTD.",Materials,0.01220879,False,False,True,False,False,False,False,1.906112,-0.02443494
2022-06-17,volume_down_day,7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Capital Goods/Others,0.01188483,False,False,True,False,False,False,False,1.585835,-0.01508786
2022-06-17,volume_down_day,4578,4578.T,"OTSUKA HOLDINGS CO., LTD.",Technology,0.01127916,False,False,False,False,False,False,False,1.259813,0.00000000
2022-06-17,volume_down_day,8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Financials,0.01123064,False,False,True,False,False,False,False,1.911512,-0.00957320
2022-06-29,volume_down_day,6857,6857.T,ADVANTEST CORP.,Technology,0.16661606,False,False,True,False,False,False,False,1.264481,-0.01179554
2022-06-29,volume_down_day,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.15152762,False,False,False,False,False,False,False,0.978348,-0.00638892
2022-06-29,volume_down_day,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.11442080,False,False,True,False,False,False,False,1.602343,-0.02839117
2022-06-29,volume_down_day,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.08740528,False,False,False,False,False,False,False,0.862368,-0.01643886
2022-06-29,volume_down_day,9433,9433.T,KDDI CORP.,Technology,0.03348065,False,False,True,False,False,True,False,1.652835,-0.01885507
2022-06-29,volume_down_day,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.03205961,False,False,True,False,False,False,False,1.377383,-0.00096000
2022-06-29,volume_down_day,6762,6762.T,TDK CORP.,Technology,0.03021131,False,False,False,False,False,False,False,1.155350,-0.01379310
2022-06-29,volume_down_day,6954,6954.T,FANUC CORP.,Technology,0.02715794,False,False,True,False,False,False,False,1.204865,-0.00609618
2022-06-29,volume_down_day,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.02646463,False,False,True,False,False,False,False,1.508022,-0.01699638
