nikkei_breakout_date,nikkei_event_type,nikkei_5d_fallback,code,ticker,company,sector,official_weight,normalized_top30_weight,component_breakout20,component_breakout60,component_volume_confirmed,component_volume_ratio_60d,component_breakout20_volume_confirmed,component_breakout60_volume_confirmed,component_breakout20_5d_no_fallback,component_breakout60_5d_no_fallback,component_close_position20
2016-12-20,breakout_60d,True,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01168400,0.01828579,False,False,False,0.917418,False,False,False,False,0.872449
2016-12-20,breakout_60d,True,4543,4543.T,TERUMO CORP.,Technology,0.01103900,0.01727635,True,True,False,1.151745,False,False,True,True,1.242857
2016-12-20,breakout_60d,True,6758,6758.T,SONY GROUP CORP.,Technology,0.01050300,0.01643749,False,False,False,0.660750,False,False,False,False,0.812950
2016-12-20,breakout_60d,True,8058,8058.T,MITSUBISHI CORP.,Materials,0.01044100,0.01634046,False,False,False,0.724723,False,False,False,False,0.719299
2016-12-20,breakout_60d,True,7203,7203.T,TOYOTA MOTOR CORP.,Technology,0.01034900,0.01619648,False,False,False,0.609995,False,False,False,False,0.911111
2016-12-20,breakout_60d,True,6988,6988.T,NITTO DENKO CORP.,Materials,0.01002800,0.01569411,True,True,False,0.884409,False,False,False,False,1.006637
2016-12-20,breakout_60d,True,4062,4062.T,"IBIDEN CO., LTD.",Technology,0.00965100,0.01510409,False,False,True,1.645373,False,False,False,False,0.522523
2016-12-20,breakout_60d,True,6920,6920.T,LASERTEC CORP.,Technology,0.00873200,0.01366583,False,False,False,0.523941,False,False,False,False,0.581006
2016-12-20,breakout_60d,True,7741,7741.T,HOYA CORP.,Technology,0.00869000,0.01360010,True,True,True,1.287522,True,True,False,False,1.079767
2016-12-20,breakout_60d,True,4503,4503.T,ASTELLAS PHARMA INC.,Technology,0.00824500,0.01290366,True,True,False,0.805487,False,False,False,False,1.108871
2016-12-20,breakout_60d,True,6146,6146.T,DISCO CORP.,Technology,0.00801700,0.01254683,False,False,False,0.761364,False,False,False,False,0.852941
2016-12-20,breakout_60d,True,9735,9735.T,"SECOM CO., LTD.",Consumer Goods,0.00790200,0.01236686,True,True,False,0.649336,False,False,True,True,1.022312
2016-12-20,breakout_60d,True,8031,8031.T,"MITSUI & CO., LTD.",Materials,0.00780100,0.01220879,False,False,False,1.033743,False,False,False,False,0.797136
2016-12-20,breakout_60d,True,7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Capital Goods/Others,0.00759400,0.01188483,False,False,False,0.829984,False,False,False,False,0.574468
2016-12-20,breakout_60d,True,4578,4578.T,"OTSUKA HOLDINGS CO., LTD.",Technology,0.00720700,0.01127916,True,True,True,1.234526,True,True,False,False,1.069652
2016-12-20,breakout_60d,True,8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Financials,0.00717600,0.01123064,False,False,False,1.005670,False,False,False,False,0.384820
2017-01-04,breakout_20d,True,6857,6857.T,ADVANTEST CORP.,Technology,0.10646200,0.16661606,False,False,True,1.803577,False,False,False,False,0.985915
2017-01-04,breakout_20d,True,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.09682100,0.15152762,False,False,False,1.028387,False,False,False,False,0.769231
2017-01-04,breakout_20d,True,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.07311100,0.11442080,False,False,False,0.710135,False,False,False,False,0.956803
2017-01-04,breakout_20d,True,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.05584900,0.08740528,False,False,False,1.114786,False,False,False,False,0.943716
2017-01-04,breakout_20d,True,9433,9433.T,KDDI CORP.,Technology,0.02139300,0.03348065,False,False,False,1.085724,False,False,False,False,0.548845
2017-01-04,breakout_20d,True,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.02048500,0.03205961,True,True,False,0.912042,False,False,False,False,1.028313
2017-01-04,breakout_20d,True,6762,6762.T,TDK CORP.,Technology,0.01930400,0.03021131,False,False,False,0.885155,False,False,False,False,0.702703
2017-01-04,breakout_20d,True,6954,6954.T,FANUC CORP.,Technology,0.01735300,0.02715794,False,False,False,1.053196,False,False,False,False,0.504000
2017-01-04,breakout_20d,True,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.01691000,0.02646463,False,False,False,0.912099,False,False,False,False,0.762376
2017-01-04,breakout_20d,True,5803,5803.T,FUJIKURA LTD.,Materials,0.01606400,0.02514062,True,True,False,1.093836,False,False,True,True,1.094339
2017-01-04,breakout_20d,True,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.01281500,0.02005584,False,False,False,1.044700,False,False,False,False,0.811881
2017-01-04,breakout_20d,True,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01265600,0.01980700,True,True,False,1.187997,False,False,False,False,1.017241
2017-01-04,breakout_20d,True,6971,6971.T,KYOCERA CORP.,Technology,0.01245300,0.01948930,False,False,False,1.176994,False,False,False,False,0.995441
2017-01-04,breakout_20d,True,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01223100,0.01914186,True,True,False,1.187869,False,False,True,True,1.429825
2017-01-04,breakout_20d,True,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01168400,0.01828579,True,True,False,0.882339,False,False,False,False,1.129310
2017-01-04,breakout_20d,True,4543,4543.T,TERUMO CORP.,Technology,0.01103900,0.01727635,True,True,False,1.130788,False,False,False,False,1.070000
2017-01-04,breakout_20d,True,6758,6758.T,SONY GROUP CORP.,Technology,0.01050300,0.01643749,False,False,False,0.927358,False,False,False,False,0.708633
2017-01-04,breakout_20d,True,8058,8058.T,MITSUBISHI CORP.,Materials,0.01044100,0.01634046,False,False,False,0.856251,False,False,False,False,0.561291
2017-01-04,breakout_20d,True,7203,7203.T,TOYOTA MOTOR CORP.,Technology,0.01034900,0.01619648,False,False,False,1.056161,False,False,False,False,0.810594
2017-01-04,breakout_20d,True,6988,6988.T,NITTO DENKO CORP.,Materials,0.01002800,0.01569411,False,False,False,0.971955,False,False,False,False,0.968978
2017-01-04,breakout_20d,True,4062,4062.T,"IBIDEN CO., LTD.",Technology,0.00965100,0.01510409,False,False,False,1.094967,False,False,False,False,0.432292
2017-01-04,breakout_20d,True,6920,6920.T,LASERTEC CORP.,Technology,0.00873200,0.01366583,False,False,True,2.714277,False,False,False,False,0.710594
2017-01-04,breakout_20d,True,7741,7741.T,HOYA CORP.,Technology,0.00869000,0.01360010,False,False,True,1.324349,False,False,False,False,1.000000
2017-01-04,breakout_20d,True,4503,4503.T,ASTELLAS PHARMA INC.,Technology,0.00824500,0.01290366,False,False,False,0.774269,False,False,False,False,0.900685
2017-01-04,breakout_20d,True,6146,6146.T,DISCO CORP.,Technology,0.00801700,0.01254683,True,True,True,1.312925,True,True,False,False,1.049690
2017-01-04,breakout_20d,True,9735,9735.T,"SECOM CO., LTD.",Consumer Goods,0.00790200,0.01236686,False,False,True,1.733049,False,False,False,False,0.809028
2017-01-04,breakout_20d,True,8031,8031.T,"MITSUI & CO., LTD.",Materials,0.00780100,0.01220879,False,False,False,0.787662,False,False,False,False,0.427948
2017-01-04,breakout_20d,True,7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Capital Goods/Others,0.00759400,0.01188483,False,False,False,0.959671,False,False,False,False,0.628572
2017-01-04,breakout_20d,True,4578,4578.T,"OTSUKA HOLDINGS CO., LTD.",Technology,0.00720700,0.01127916,False,False,True,1.396341,False,False,False,False,0.895688
2017-01-04,breakout_20d,True,8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Financials,0.00717600,0.01123064,False,False,True,1.262113,False,False,False,False,0.278237
2017-01-04,breakout_60d,True,6857,6857.T,ADVANTEST CORP.,Technology,0.10646200,0.16661606,False,False,True,1.803577,False,False,False,False,0.985915
2017-01-04,breakout_60d,True,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.09682100,0.15152762,False,False,False,1.028387,False,False,False,False,0.769231
2017-01-04,breakout_60d,True,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.07311100,0.11442080,False,False,False,0.710135,False,False,False,False,0.956803
2017-01-04,breakout_60d,True,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.05584900,0.08740528,False,False,False,1.114786,False,False,False,False,0.943716
2017-01-04,breakout_60d,True,9433,9433.T,KDDI CORP.,Technology,0.02139300,0.03348065,False,False,False,1.085724,False,False,False,False,0.548845
2017-01-04,breakout_60d,True,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.02048500,0.03205961,True,True,False,0.912042,False,False,False,False,1.028313
2017-01-04,breakout_60d,True,6762,6762.T,TDK CORP.,Technology,0.01930400,0.03021131,False,False,False,0.885155,False,False,False,False,0.702703
2017-01-04,breakout_60d,True,6954,6954.T,FANUC CORP.,Technology,0.01735300,0.02715794,False,False,False,1.053196,False,False,False,False,0.504000
2017-01-04,breakout_60d,True,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.01691000,0.02646463,False,False,False,0.912099,False,False,False,False,0.762376
2017-01-04,breakout_60d,True,5803,5803.T,FUJIKURA LTD.,Materials,0.01606400,0.02514062,True,True,False,1.093836,False,False,True,True,1.094339
2017-01-04,breakout_60d,True,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.01281500,0.02005584,False,False,False,1.044700,False,False,False,False,0.811881
2017-01-04,breakout_60d,True,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01265600,0.01980700,True,True,False,1.187997,False,False,False,False,1.017241
2017-01-04,breakout_60d,True,6971,6971.T,KYOCERA CORP.,Technology,0.01245300,0.01948930,False,False,False,1.176994,False,False,False,False,0.995441
2017-01-04,breakout_60d,True,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01223100,0.01914186,True,True,False,1.187869,False,False,True,True,1.429825
