adjustment,base_position,date,equity_before,price,regime,target_position,type
,,2024-01-31,12651566.71,35747.8906,,0.80,execute
-1,0.81,2024-02-16,,,bull,0.56,signal
,,2024-02-19,13422680.02,38473.4102,,0.56,execute
0,0.81,2024-02-19,,,bull,0.81,signal
,,2024-02-20,13429896.54,38510.3711,,0.81,execute
0,1.00,2024-02-21,,,bull,1.00,signal
,,2024-02-22,13429246.97,38508.0703,,1.00,execute
-1,1.00,2024-02-22,,,bull,0.75,signal
,,2024-02-26,13712621.53,39320.6406,,0.75,execute
0,1.00,2024-02-26,,,bull,1.00,signal
,,2024-02-27,13696965.08,39260.7812,,1.00,execute
0,0.80,2024-03-12,,,bull,0.80,signal
,,2024-03-13,13626900.52,39059.9492,,0.80,execute
0,0.65,2024-03-29,,,bull,0.65,signal
,,2024-04-01,14070505.79,40646.6992,,0.65,execute
-1,0.64,2024-04-09,,,bull,0.39,signal
,,2024-04-10,13832495.78,39582.3281,,0.39,execute
0,0.64,2024-04-11,,,bull,0.64,signal
,,2024-04-12,13851659.63,39722.0195,,0.64,execute
-1,0.25,2024-05-28,,,bull,0.00,signal
,,2024-05-29,13663661.22,38880.5000,,0.00,execute
0,0.25,2024-06-05,,,bull,0.25,signal
,,2024-06-06,13663661.22,38841.6602,,0.25,execute
-1,0.25,2024-06-07,,,bull,0.00,signal
,,2024-06-10,13650404.79,38689.7812,,0.00,execute
0,0.25,2024-06-20,,,bull,0.25,signal
,,2024-06-21,13650404.79,38608.6602,,0.25,execute
-1,0.25,2024-06-21,,,bull,0.00,signal
,,2024-06-24,13640619.25,38497.4219,,0.00,execute
0,0.25,2024-06-24,,,bull,0.25,signal
,,2024-06-25,13640619.25,38833.8984,,0.25,execute
-1,0.25,2024-06-25,,,bull,0.00,signal
,,2024-06-26,13687166.73,39364.7305,,0.00,execute
0,0.25,2024-06-26,,,bull,0.25,signal
,,2024-06-27,13687201.04,39434.4688,,0.25,execute
-1,0.25,2024-06-27,,,bull,0.00,signal
,,2024-06-28,13701166.16,39593.0117,,0.00,execute
0,0.25,2024-06-28,,,bull,0.25,signal
,,2024-07-01,13701356.02,39839.8203,,0.25,execute
0,0.50,2024-07-02,,,bull,0.50,signal
,,2024-07-03,13734992.82,40225.8281,,0.50,execute
-1,1.00,2024-07-04,,,bull,0.75,signal
,,2024-07-05,13869652.29,41009.3594,,0.75,execute
0,1.00,2024-07-05,,,bull,1.00,signal
,,2024-07-08,13832563.13,40863.1406,,1.00,execute
-1,1.00,2024-07-09,,,bull,0.75,signal
,,2024-07-10,14029300.65,41444.3281,,0.75,execute
0,1.00,2024-07-17,,,bull,1.00,signal
,,2024-07-18,13795064.60,40521.7109,,1.00,execute
-1,1.00,2024-07-22,,,bull,0.75,signal
,,2024-07-23,13571186.46,39864.0898,,0.75,execute
0,1.00,2024-07-25,,,bull,1.00,signal
,,2024-07-26,13042347.80,37792.8711,,1.00,execute
0,0.35,2024-07-26,,,bull,0.35,signal
,,2024-07-29,13161838.93,38139.1211,,0.35,execute
-1,0.35,2024-08-01,,,bull,0.10,signal
,,2024-08-02,13078080.62,37444.1719,,0.10,execute
0,0.34,2024-08-13,,,range,0.34,signal
,,2024-08-14,13045712.11,36535.6016,,0.34,execute
-1,0.35,2024-08-23,,,bull,0.10,signal
,,2024-08-26,13242755.02,38156.4102,,0.10,execute
0,0.35,2024-08-26,,,bull,0.35,signal
,,2024-08-27,13239520.90,38066.3086,,0.35,execute
1,0.35,2024-09-04,,,bull,0.60,signal
,,2024-09-05,13052252.29,36536.2500,,0.60,execute
0,0.34,2024-09-05,,,bull,0.34,signal
,,2024-09-06,13111551.06,36815.0000,,0.34,execute
1,0.34,2024-09-09,,,bull,0.59,signal
,,2024-09-10,13059146.15,36386.1211,,0.59,execute
0,0.25,2024-09-12,,,range,0.25,signal
,,2024-09-13,13164302.39,36882.4102,,0.25,execute
1,0.25,2024-09-13,,,range,0.50,signal
,,2024-09-17,13139044.72,36601.9297,,0.50,execute
0,0.25,2024-09-17,,,range,0.25,signal
,,2024-09-18,13128992.95,36546.0391,,0.25,execute
-1,0.26,2024-09-26,,,range,0.01,signal
,,2024-09-27,13358241.35,39108.2695,,0.01,execute
0,0.26,2024-09-30,,,range,0.26,signal
,,2024-10-01,13354393.71,38232.4688,,0.26,execute
-1,0.26,2024-10-01,,,range,0.01,signal
,,2024-10-02,13345724.18,38136.1992,,0.01,execute
0,0.26,2024-10-02,,,range,0.26,signal
,,2024-10-03,13347023.44,38459.1289,,0.26,execute
-1,0.26,2024-10-03,,,range,0.01,signal
,,2024-10-04,13359130.03,38594.7305,,0.01,execute
0,0.26,2024-10-04,,,range,0.26,signal
