symbol,source,trade_date,open,high,low,close,adj_close,volume
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-18,43452.8984375,43835.12109375,43390.21875,43714.30859375,43714.30859375,124200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-19,43846.55078125,43876.421875,43411.96875,43546.2890625,43546.2890625,117100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-20,43400.66015625,43425.78125,42724.1484375,42888.55078125,42888.55078125,116700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-21,42783.26171875,42926.109375,42564.30078125,42610.171875,42610.171875,103100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-22,42629.80859375,42720.5703125,42331.390625,42633.2890625,42633.2890625,97800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-25,42977.26953125,43201.421875,42681.37109375,42807.8203125,42807.8203125,102200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-26,42619.66015625,42703.26953125,42137.62109375,42394.3984375,42394.3984375,162600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-27,42476.08984375,42628.0390625,42270.1796875,42520.26953125,42520.26953125,108400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-28,42308.140625,42828.7890625,42299.7890625,42828.7890625,42828.7890625,112700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-08-29,42774.2890625,42807.03125,42611.30859375,42718.46875,42718.46875,114900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-01,42362.7109375,42454.98828125,41835.171875,42188.7890625,42188.7890625,96600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-02,42299.62890625,42473.671875,42084.78125,42310.48828125,42310.48828125,99800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-03,42085.66015625,42293.5390625,41863.19921875,41938.890625,41938.890625,130200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-04,42093.69921875,42608.80078125,42066.58984375,42580.26953125,42580.26953125,110300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-05,42983.46875,43220.94140625,42783.5390625,43018.75,43018.75,118300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-08,43451.0703125,43838.6015625,43343.578125,43643.80859375,43643.80859375,115500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-09,43907.55078125,44185.73046875,43452.73828125,43459.2890625,43459.2890625,117500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-10,43513.16015625,43848.76953125,43509.01953125,43837.671875,43837.671875,115700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-11,43876.21875,44396.94921875,43870.5390625,44372.5,44372.5,107300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-12,44803.30078125,44888.01953125,44548.5703125,44768.12109375,44768.12109375,124900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-16,44948.8515625,45055.37890625,44616.3203125,44902.26953125,44902.26953125,111700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-17,44751.83984375,45033.33984375,44612.0703125,44790.37890625,44790.37890625,104600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-18,44910.5,45508.671875,44815.3984375,45303.4296875,45303.4296875,113700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-19,45634.2890625,45852.75,44495.4609375,45045.80859375,45045.80859375,208600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-22,45193.76953125,45757.73828125,45193.76953125,45493.66015625,45493.66015625,116600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-24,45484.41015625,45693.28125,45205.46875,45630.30859375,45630.30859375,131700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-25,45600.0703125,45824.69140625,45503.30859375,45754.9296875,45754.9296875,127200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-26,45634.19921875,45766.76953125,45354.98828125,45354.98828125,45354.98828125,147500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-29,45113.2890625,45152.69921875,44890.19921875,45043.75,45043.75,130500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-09-30,45054.9609375,45126.23046875,44733.6015625,44932.62890625,44932.62890625,160600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-10-01,44831.94921875,44874.421875,44357.6484375,44550.8515625,44550.8515625,136700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-10-02,44736.03125,45125.9609375,44659.21875,44936.73046875,44936.73046875,131100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-10-03,45042.5390625,45778.66015625,45042.5390625,45769.5,45769.5,117600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-10-06,46636.0703125,48150.0390625,46592.98828125,47944.76171875,47944.76171875,178300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-10-07,48281.12109375,48527.328125,47904.37890625,47950.87890625,47950.87890625,154200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-10-08,47925.21875,48181.12109375,47728.26953125,47734.98828125,47734.98828125,142200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-10-09,48035.421875,48597.078125,47995.21875,48580.44140625,48580.44140625,138500000
