symbol,policy_name,rebound_check_day,hold_days,signal_date,entry_date,trigger_date,exit_date,entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_calendar_days
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2023-09-27,2023-09-28,2023-10-12,2023-10-13,4.418000221252441,4.328999996185303,fail_to_rebound_d5,-0.020144911862840176,1326223.0516606881,1299506.4051745166,15
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2023-11-10,2023-11-13,,2023-12-11,4.46999979019165,4.497000217437744,time_exit,0.006040364320673897,1299506.4051745166,1307355.8972988199,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2024-06-13,2024-06-14,,2024-07-12,5.189000129699707,5.395999908447266,time_exit,0.03989203576287781,1307355.8972988199,1359508.9855086736,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2024-11-06,2024-11-07,2024-11-13,2024-11-14,5.800000190734863,5.689000129699707,fail_to_rebound_d5,-0.019137940928428243,1359508.9855086736,1333490.7828523412,7
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2024-11-14,2024-11-15,,2024-12-13,5.638000011444092,5.942999839782715,time_exit,0.0540971670307786,1333490.7828523412,1405628.856466308,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2024-12-19,2024-12-20,,2025-01-20,5.804999828338623,6.027999877929688,time_exit,0.03841516902419739,1405628.856466308,1459626.3265727505,31
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2025-02-28,2025-03-03,,2025-03-31,6.368000030517578,6.855000019073486,time_exit,0.07647612848964225,1459626.3265727505,1571252.8970705927,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2025-04-07,2025-04-08,,2025-05-09,6.7829999923706055,7.422999858856201,time_exit,0.09435351130848524,1571252.8970705927,1719506.125062833,31
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2025-05-12,2025-05-13,2025-05-19,2025-05-20,7.197999954223633,7.135000228881836,fail_to_rebound_d5,-0.008752393128987124,1719506.125062833,1704456.331468582,7
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2025-06-27,2025-06-30,,2025-07-28,7.230000019073486,7.284999847412109,time_exit,0.007607168491497562,1704456.331468582,1717422.4179684632,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2025-10-28,2025-10-29,,2025-11-26,8.562000274658203,8.904999732971191,time_exit,0.04006066892198046,1717422.4179684632,1786223.5088538849,28
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2026-02-02,2026-02-03,,2026-03-11,10.232000350952148,10.892000198364258,time_exit,0.06450350124848203,1786223.5088538849,1901441.1791873095,36
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2026-03-17,2026-03-18,2026-03-24,2026-03-25,10.508000373840332,9.60200023651123,fail_to_rebound_d5,-0.08622003284131863,1901441.1791873095,1737498.858271944,7
518800.SH,fail_to_rebound_d5_hold_20d,5,20,2026-03-25,2026-03-26,,2026-04-24,9.517999649047852,10.375,time_exit,0.09003996454631924,1737498.858271944,1893943.19387002,29
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2021-01-08,2021-01-11,,2021-01-25,3.690000057220459,3.7699999809265137,time_exit,0.02168019579010938,1000000.0,1021680.1957901093,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2021-02-04,2021-02-05,2021-02-22,2021-02-23,3.641999959945679,3.6640000343322754,fail_to_rebound_d7,0.006040657503720626,1021680.1957901093,1027851.8159312116,18
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2021-02-26,2021-03-01,2021-03-09,2021-03-10,3.5420000553131104,3.507999897003174,fail_to_rebound_d7,-0.009599141100784303,1027851.8159312116,1017985.3213193906,9
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2021-03-30,2021-03-31,,2021-04-15,3.470000028610229,3.559999942779541,time_exit,0.02593657447471487,1017985.3213193906,1044388.3734199575,15
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2021-06-17,2021-06-18,2021-06-28,2021-06-29,3.5999999046325684,3.586999893188477,fail_to_rebound_d7,-0.0036111143856872863,1044388.3734199575,1040616.9675404561,11
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2021-08-06,2021-08-09,,2021-08-23,3.526000022888184,3.5999999046325684,time_exit,0.020986920381177443,1040616.9675404561,1062456.31298553,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2021-09-16,2021-09-17,2021-09-29,2021-09-30,3.555999994277954,3.5160000324249268,fail_to_rebound_d7,-0.011248583216364572,1062456.31298553,1050505.1847351603,13
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2021-11-23,2021-11-24,2021-12-02,2021-12-03,3.565999984741211,3.525000095367432,fail_to_rebound_d7,-0.011497445190470024,1050505.1847351603,1038427.0589513632,9
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-01-28,2022-02-07,,2022-02-21,3.5789999961853027,3.7200000286102295,time_exit,0.03939648856530109,1038427.0589513632,1079337.43870524,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-03-16,2022-03-17,,2022-03-31,3.7820000648498535,3.799000024795532,time_exit,0.004494965535214224,1079337.43870524,1084189.0232930863,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-04-25,2022-04-26,,2022-05-13,3.848999977111816,3.8540000915527344,time_exit,0.001299068451715124,1084189.0232930863,1085597.4590489422,17
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-05-13,2022-05-16,,2022-05-30,3.828999996185303,3.875,time_exit,0.012013581577572374,1085597.4590489422,1098639.372683632,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-06-14,2022-06-15,,2022-06-29,3.8010001182556152,3.785000085830689,time_exit,-0.004209426973727393,1098639.372683632,1094014.7304738585,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-07-05,2022-07-06,2022-07-14,2022-07-15,3.697999954223633,3.601999998092652,fail_to_rebound_d7,-0.02595996682513091,1094014.7304738585,1065614.1443645526,9
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-07-15,2022-07-18,,2022-08-01,3.595000028610229,3.7079999446868896,time_exit,0.031432521607056785,1065614.1443645526,1099109.0839820767,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-08-22,2022-08-23,,2022-09-06,3.7160000801086426,3.7300000190734863,time_exit,0.0037674754206233896,1099109.0839820767,1103249.950440563,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-09-06,2022-09-07,2022-09-16,2022-09-19,3.7190001010894775,3.691999912261963,fail_to_rebound_d7,-0.0072600667097602045,1103249.950440563,1095240.282202825,12
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-09-19,2022-09-20,2022-09-28,2022-09-29,3.714999914169312,3.740000009536743,fail_to_rebound_d7,0.006729500927329379,1095240.282202825,1102610.7026975574,9
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-10-14,2022-10-17,,2022-10-31,3.759999990463257,3.7699999809265137,time_exit,0.0026595719384630012,1102610.7026975574,1105543.1751815008,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2022-11-03,2022-11-04,,2022-11-18,3.763000011444092,3.910000085830689,time_exit,0.039064595785154976,1105543.1751815008,1148730.772443003,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2023-02-03,2023-02-06,2023-02-14,2023-02-15,3.990000009536743,3.970999956130981,fail_to_rebound_d7,-0.004761918135425813,1148730.772443003,1143260.610544985,9
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2023-02-15,2023-02-16,,2023-03-02,3.950999975204468,3.9779999256134033,time_exit,0.006833700475418869,1143260.610544985,1151073.311122794,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2023-05-18,2023-05-19,2023-05-29,2023-05-30,4.277999877929688,4.258999824523926,fail_to_rebound_d7,-0.00444134033378174,1151073.311122794,1145961.0027989645,11
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2023-09-27,2023-09-28,2023-10-16,2023-10-17,4.418000221252441,4.418000221252441,fail_to_rebound_d7,0.0,1145961.0027989645,1145961.0027989645,19
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2023-11-10,2023-11-13,2023-11-21,2023-11-22,4.46999979019165,4.466000080108643,fail_to_rebound_d7,-0.0008947897697410001,1145961.0027989645,1144935.608617138,9
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2024-06-13,2024-06-14,,2024-06-28,5.189000129699707,5.216000080108643,time_exit,0.0052033050171649275,1144935.608617138,1150893.0578137862,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2024-11-06,2024-11-07,2024-11-15,2024-11-18,5.800000190734863,5.684000015258789,fail_to_rebound_d7,-0.02000002959678815,1150893.0578137862,1127875.1625947724,11
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2024-12-19,2024-12-20,,2025-01-06,5.804999828338623,5.949999809265137,time_exit,0.024978464291878,1127875.1625947724,1156047.752069342,17
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2025-02-28,2025-03-03,,2025-03-17,6.368000030517578,6.590000152587891,time_exit,0.03486182804748972,1156047.752069342,1196349.6900166704,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2025-04-07,2025-04-08,,2025-04-22,6.7829999923706055,7.749000072479248,time_exit,0.14241487265150843,1196349.6900166704,1366727.678767066,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2025-05-12,2025-05-13,,2025-05-27,7.197999954223633,7.347000122070312,time_exit,0.02070021794863286,1366727.678767066,1395019.2395939734,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2025-06-27,2025-06-30,,2025-07-14,7.230000019073486,7.335999965667725,time_exit,0.014661126737842256,1395019.2395939734,1415471.793467389,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2025-10-28,2025-10-29,,2025-11-12,8.562000274658203,8.954999923706055,time_exit,0.04590044807765903,1415471.793467389,1480442.5830288297,14
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2026-02-02,2026-02-03,,2026-02-25,10.232000350952148,10.82699966430664,time_exit,0.05815083003775734,1480442.5830288297,1566531.5480551976,22
518800.SH,fail_to_rebound_d7_hold_10d,7,10,2026-03-17,2026-03-18,2026-03-26,2026-03-27,10.508000373840332,9.251999855041504,fail_to_rebound_d7,-0.119528023802287,1566531.5480551976,1379287.1278922225,9
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2021-01-08,2021-01-11,,2021-02-01,3.690000057220459,3.74399995803833,time_exit,0.01463411923590785,1000000.0,1014634.1192359078,21
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2021-02-04,2021-02-05,2021-02-22,2021-02-23,3.641999959945679,3.6640000343322754,fail_to_rebound_d7,0.006040657503720626,1014634.1192359078,1020763.1764418011,18
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2021-02-26,2021-03-01,2021-03-09,2021-03-10,3.5420000553131104,3.507999897003174,fail_to_rebound_d7,-0.009599141100784303,1020763.1764418011,1010964.7266806515,9
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2021-03-30,2021-03-31,,2021-04-22,3.470000028610229,3.651000022888184,time_exit,0.05216138120622649,1010964.7266806515,1063698.0431750896,22
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2021-06-17,2021-06-18,2021-06-28,2021-06-29,3.5999999046325684,3.586999893188477,fail_to_rebound_d7,-0.0036111143856872863,1063698.0431750896,1059856.9078693527,11
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2021-08-06,2021-08-09,,2021-08-30,3.526000022888184,3.6679999828338623,time_exit,0.04027225156662495,1059856.9078693527,1102539.7318876926,21
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2021-09-16,2021-09-17,2021-09-29,2021-09-30,3.555999994277954,3.5160000324249268,fail_to_rebound_d7,-0.011248583216364572,1102539.7318876926,1090137.7219642056,13
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2021-11-23,2021-11-24,2021-12-02,2021-12-03,3.565999984741211,3.525000095367432,fail_to_rebound_d7,-0.011497445190470024,1090137.7219642056,1077603.9232558582,9
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2022-01-28,2022-02-07,,2022-02-28,3.5789999961853027,3.750999927520752,time_exit,0.04805809765822189,1077603.9232558582,1129391.5178365714,21
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2022-03-16,2022-03-17,,2022-04-11,3.7820000648498535,3.838000059127808,time_exit,0.014806978666769943,1129391.5178365714,1146114.3939476085,25
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2022-04-25,2022-04-26,,2022-05-20,3.848999977111816,3.825999975204468,time_exit,-0.005975578603304221,1146114.3939476085,1139265.6972981961,24
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2022-06-14,2022-06-15,,2022-07-06,3.8010001182556152,3.697999954223633,time_exit,-0.027098174382391815,1139265.6972981961,1108393.6767649325,21
518800.SH,fail_to_rebound_d7_hold_15d,7,15,2022-07-06,2022-07-07,2022-07-15,2022-07-18,3.634999990463257,3.595000028610229,fail_to_rebound_d7,-0.011004116081972826,1108393.6767649325,1096196.7840812865,11
