etf_code,strategy,signal_date,etf_execute_date,execution_date_shift_days,signal_adjustment,signal_base_position,signal_regime,old_position_ratio_open,target_position,new_position_ratio_open,action,execution_reason,etf_open,etf_close,etf_nav,premium_open_proxy_pct,premium_close_pct,cash_before,equity_before_open,trade_gross_value,trade_fee,trade_shares,shares_after,cash_after,equity_after_open
513520,next_open_no_cost,2022-09-16,2022-09-19,3,0.0,0.21,range,0.0,0.21,0.21,buy,buy_to_target,1.0049999952316284,1.003000020980835,1.0064,-0.13911017173803275,-0.3378357530966824,756774.092567869,957941.8893264164,201167.79675854745,0.0,200166.9628985253,200166.9628985253,756774.092567869,957941.8893264164
513520,next_open_no_cost,2022-09-20,2022-09-21,1,-1.0,0.21,range,0.2088427900160079,0.0,0.0,sell,sell_to_target,0.9980000257492064,1.0,0.9969,0.11034464331491911,0.3109639883639215,956540.7266947377,956540.7266947377,199766.63412686868,0.0,-200166.9628985253,0.0,956540.7266947377,956540.7266947377
513520,next_open_no_cost,2022-09-21,2022-09-22,1,0.0,0.21,range,0.0,0.21,0.21000000000000002,buy,buy_to_target,0.996999979019165,0.99099999666214,0.9908,0.6257548465043339,0.0201853716330191,755667.1740888427,956540.7266947377,200873.55260589492,0.0,201477.99080548785,201477.99080548785,755667.1740888427,956540.7266947376
513520,next_open_no_cost,2022-09-22,2022-09-23,1,-1.0,0.21,range,0.20966706563106668,0.0,0.0,sell,sell_to_target,0.9950000047683716,1.0,1.0116,-1.6409643368553217,-1.1466982997232145,956137.775901025,956137.775901025,200470.60181218234,0.0,-201477.99080548785,0.0,956137.775901025,956137.775901025
513520,next_open_no_cost,2022-09-26,2022-09-27,1,0.0,0.2,range,0.0,0.2,0.2,buy,buy_to_target,0.9850000143051147,0.9869999885559082,0.981,0.40774865495563084,0.6116196285329556,764910.22072082,956137.775901025,191227.55518020503,0.0,194139.64710966,194139.64710966,764910.22072082,956137.775901025
513520,next_open_no_cost,2022-09-27,2022-09-28,1,-1.0,0.2,range,0.19918699265787093,0.0,0.0,sell,sell_to_target,0.9800000190734864,0.972000002861023,0.9731,0.7090760531791584,-0.1130405034402426,955167.0785912068,955167.0785912068,190256.85787038674,0.0,-194139.64710966,0.0,955167.0785912068,955167.0785912068
513520,next_open_no_cost,2022-09-28,2022-09-29,1,0.0,0.2,range,0.0,0.2,0.2,buy,buy_to_target,0.9800000190734864,0.9810000061988832,0.99,-1.0100990834862156,-0.9090902829411052,764133.6628729654,955167.0785912068,191033.41571824136,0.0,194932.05306143622,194932.05306143622,764133.6628729654,955167.0785912068
513520,next_open_no_cost,2022-10-04,2022-10-10,6,-1.0,0.21,range,0.19901920034389955,0.0,0.0,sell,sell_to_target,0.9739999771118164,0.975000023841858,0.997,-2.3069230579923383,-2.2066174682188637,953997.4780931637,953997.4780931637,189863.81522019827,0.0,-194932.05306143622,0.0,953997.4780931637,953997.4780931637
513520,next_open_no_cost,2022-10-11,2022-10-12,1,0.0,0.2,range,0.0,0.2,0.2,buy,buy_to_target,0.972000002861023,0.9789999723434448,0.9717,0.030874020893589815,0.751257830960661,763197.9824745309,953997.4780931637,190799.49561863276,0.0,196295.77680763995,196295.77680763995,763197.9824745309,953997.4780931637
513520,next_open_no_cost,2022-10-12,2022-10-13,1,-1.0,0.2,range,0.19967065059953834,0.0,0.0,sell,sell_to_target,0.9700000286102296,0.9660000205039978,0.964,0.6224096068703,0.2074710066387819,953604.8915940089,953604.8915940089,190406.909119478,0.0,-196295.77680763995,0.0,953604.8915940089,953604.8915940089
513520,next_open_no_cost,2022-10-14,2022-10-17,3,0.0,0.21,range,0.0,0.21,0.21,buy,buy_to_target,0.977999985218048,0.9760000109672546,0.9741,0.40036805441412415,0.1950529686125302,753347.864359267,953604.8915940089,200257.02723474186,0.0,204761.78963345685,204761.78963345685,753347.864359267,953604.8915940089
513520,next_open_no_cost,2022-10-18,2022-10-19,1,-1.0,0.21,range,0.21219907816197786,0.0,0.0,sell,sell_to_target,0.99099999666214,0.9900000095367432,0.9908,0.020185371633019145,-0.0807418715438879,956266.7972025566,956266.7972025566,202918.93284328954,0.0,-204761.78963345685,0.0,956266.7972025566,956266.7972025566
513520,next_open_no_cost,2022-11-08,2022-11-09,1,0.0,0.21,range,0.0,0.21,0.21,buy,buy_to_target,1.031999945640564,1.031000018119812,1.0348,-0.27058894080362883,-0.3672189679346682,755450.7697900197,956266.7972025566,200816.02741253687,0.0,194589.18409912323,194589.18409912323,755450.7697900197,956266.7972025566
513520,next_open_no_cost,2022-11-09,2022-11-10,1,-1.0,0.21,range,0.20903429844437074,0.0,0.0,sell,sell_to_target,1.0260000228881836,1.0210000276565552,1.0236,0.2344688245587756,-0.2540027689961754,955099.2771295131,955099.2771295131,199648.5073394934,0.0,-194589.18409912323,0.0,955099.2771295131,955099.2771295131
513520,next_open_no_cost,2022-11-11,2022-11-14,3,0.0,0.21,range,0.0,0.21,0.21,buy,buy_to_target,1.062999963760376,1.0579999685287476,1.0616,0.1318729992818346,-0.3391137406982381,754528.4289323153,955099.2771295131,200570.84819719775,0.0,188683.77707904694,188683.77707904694,754528.4289323153,955099.2771295131
513520,next_open_no_cost,2022-11-17,2022-11-18,1,-1.0,0.21,range,0.2107795679131235,0.0,0.0,sell,sell_to_target,1.0679999589920044,1.0640000104904177,1.0675,0.04683456599574587,-0.3278678697501092,956042.695115194,956042.695115194,201514.26618287864,0.0,-188683.77707904694,0.0,956042.695115194,956042.695115194
513520,next_open_no_cost,2022-11-22,2022-11-23,1,0.0,0.21,range,0.0,0.21,0.21000000000000002,buy,buy_to_target,1.0700000524520874,1.0759999752044678,1.0692,0.07482720277660615,0.6359872058050664,755273.7291410032,956042.695115194,200768.96597419074,0.0,187634.53844146497,187634.53844146497,755273.7291410032,956042.695115194
513520,next_open_no_cost,2022-11-29,2022-11-30,1,-1.0,0.21,range,0.21231887202359212,0.0,0.0,sell,sell_to_target,1.0850000381469729,1.087000012397766,1.0843,0.06456129733218852,0.2490097203510233,958857.2105076824,958857.2105076824,203583.48136667916,0.0,-187634.53844146497,0.0,958857.2105076824,958857.2105076824
513520,next_open_no_cost,2022-12-01,2022-12-02,1,0.0,0.21,range,0.0,0.21,0.21,buy,buy_to_target,1.0800000429153442,1.0850000381469729,1.0883,-0.7626534121708883,-0.3032217084468769,757497.1963010691,958857.2105076824,201360.0142066133,0.0,186444.4501900792,186444.4501900792,757497.1963010691,958857.2105076824
513520,next_open_no_cost,2022-12-02,2022-12-05,3,-1.0,0.21,range,0.2107673087986367,0.0,0.0,sell,sell_to_target,1.0850000381469729,1.0800000429153442,1.0797,0.4908806285980116,0.0277894707181758,959789.4318695965,959789.4318695965,202292.2355685273,0.0,-186444.4501900792,0.0,959789.4318695965,959789.4318695965
513520,next_open_no_cost,2022-12-20,2022-12-21,1,0.0,0.2,bull,0.0,0.2,0.2,buy,buy_to_target,1.0479999780654907,1.0460000038146973,1.0445,0.3350864591183056,0.1436097476972042,767831.5454956772,959789.4318695965,191957.88637391932,0.0,183165.92594615842,183165.92594615842,767831.5454956772,959789.4318695965
513520,next_open_no_cost,2022-12-22,2022-12-23,1,1.0,0.2,bull,0.19877675590138402,0.45,0.45,buy,buy_to_target,1.0399999618530271,1.034999966621399,1.0373,0.260287462935227,-0.2217327078570474,527078.2558208508,958324.1014924563,240753.28967482617,0.0,231493.55625538903,414659.4822015475,527078.255820851,958324.1014924564
513520,next_open_no_cost,2023-01-18,2023-01-19,1,0.0,0.2,range,0.45071302176331157,0.2,0.19999999999999996,sell,sell_to_target,1.0429999828338623,1.0479999780654907,1.0505,-0.713947374215862,-0.2379840013811751,767654.4709111706,959568.0886389632,240576.21509031966,0.0,-230657.92813981345,184001.55406173403,767654.4709111706,959568.0886389632
513520,next_open_no_cost,2023-01-19,2023-01-20,1,1.0,0.2,range,0.20015338140146288,0.45,0.44999999999999996,buy,buy_to_target,1.0440000295639038,1.0499999523162842,1.0477,-0.3531517071772683,0.2195239397045023,527863.6543352839,959752.0987914251,239790.8165758867,0.0,229684.68370259658,413686.2377643306,527863.6543352839,959752.0987914251
513520,next_open_no_cost,2023-01-27,2023-01-30,3,-1.0,0.3,range,0.454933795280015,0.05,0.049999999999999954,sell,sell_to_target,1.065000057220459,1.0679999589920044,1.0726,-0.7085533078072914,-0.4288682647767716,920017.5451643318,968439.5212256124,392153.8908290479,0.0,-368219.5960181724,45466.64174615819,920017.5451643318,968439.5212256124
513520,next_open_no_cost,2023-01-31,2023-02-01,1,0.0,0.55,range,0.049999999999999954,0.55,0.55,buy,buy_to_target,1.065000057220459,1.059999942779541,1.0641,0.08458389441396985,-0.3853075106154513,435797.7845515255,968439.5212256124,484219.7606128063,0.0,454666.41746158234,500133.05920774053,435797.7845515255,968439.5212256124
513520,next_open_no_cost,2023-02-02,2023-02-03,1,1.0,0.55,range,0.5525418791562073,0.75,0.75,buy,buy_to_target,1.0759999752044678,1.0779999494552612,1.0835,-0.6922034882816952,-0.5076188781484747,243485.2359644972,973940.9438579889,192312.54858702826,0.0,178729.1384932271,678862.1977009677,243485.23596449723,973940.9438579889
513520,next_open_no_cost,2023-02-03,2023-02-06,3,0.0,0.55,range,0.7494761313572623,0.55,0.55,sell,sell_to_target,1.0729999542236328,1.065999984741211,1.0703,0.2522614429256054,-0.4017579425197648,437356.95435980556,971904.3430217903,193871.71839530833,0.0,-180681.9447029556,498180.25299801206,437356.95435980556,971904.3430217903
513520,next_open_no_cost,2023-02-14,2023-02-15,1,0.0,0.33,range,0.5488437291569956,0.33,0.33,sell,sell_to_target,1.0679999589920044,1.055999994277954,1.0614,0.6218163738462845,-0.5087625515400207,649507.0075686469,969413.4441323088,212150.0532088413,0.0,-198642.37954566212,299537.8734523499,649507.0075686469,969413.4441323088
513520,next_open_no_cost,2023-03-13,2023-03-14,1,0.0,0.75,range,0.3252044014849057,0.75,0.7499999999999999,buy,buy_to_target,1.0449999570846558,1.0470000505447388,1.0501,-0.48567211840246927,-0.2952051666756716,240631.01811789547,962524.0724715816,408875.9894507515,0.0,391268.90549491986,690806.7789472698,240631.0181178954,962524.0724715816
513520,next_open_no_cost,2023-03-17,2023-03-20,3,-1.0,0.75,range,0.7519582311921735,0.5,0.5,sell,sell_to_target,1.055999994277954,1.0570000410079956,1.0613,-0.49938808273304325,-0.4051596148124337,485061.4863666921,970122.9727333842,244430.46824879668,0.0,-231468.24770195893,459338.53124531085,485061.4863666921,970122.9727333842
