strategy,date,cash,shares_159866,shares_513520,equity,position_ratio,premium_open_159866,premium_open_513520
dual_low_premium_buy_no_deadband_3bp,2025-08-27,0.0,118089.33971695883,829241.3720483971,1469086.4198925635,1.0,0.2270269462080643,0.03770313116717716
dual_low_premium_buy_no_deadband_3bp,2025-08-28,0.0,118089.33971695883,829241.3720483971,1478913.988472531,1.0,0.18351478182079273,-0.06840412136809304
dual_low_premium_buy_no_deadband_3bp,2025-08-29,0.0,118089.33971695883,829241.3720483971,1469204.5147506003,1.0,0.43412501713651075,-0.13107647201436867
dual_low_premium_buy_no_deadband_3bp,2025-09-01,0.0,118089.33971695883,829241.3720483971,1456296.1990257804,1.0,0.6785442103158568,-0.14545018748480798
dual_low_premium_buy_no_deadband_3bp,2025-09-02,364172.08537614206,88567.00478771912,621931.0290362978,1456661.9312792858,0.7499954673379053,0.38870743285246423,0.6209643345461702
dual_low_premium_buy_no_deadband_3bp,2025-09-03,0.0,399200.8365413721,621931.0290362978,1444295.1488125585,1.0,0.7219019031229568,0.8414190026390544
dual_low_premium_buy_no_deadband_3bp,2025-09-04,364793.5571387896,299400.6274060291,466448.27177722333,1475021.3364761602,0.7526859116422784,0.1603270812272406,0.012622295997788413
dual_low_premium_buy_no_deadband_3bp,2025-09-05,364793.5571387896,299400.6274060291,466448.27177722333,1476253.6356274516,0.7528923564792838,1.1555806972776583,0.9375005960464478
dual_low_premium_buy_no_deadband_3bp,2025-09-08,0.0,299400.6274060291,690455.733198205,1489122.9196598842,1.0,0.3966314145266159,0.24013428858042918
dual_low_premium_buy_no_deadband_3bp,2025-09-09,0.0,299400.6274060291,690455.733198205,1486361.132284466,1.0,1.1374874787876132,0.6818636386837884
dual_low_premium_buy_no_deadband_3bp,2025-09-10,0.0,299400.6274060291,690455.733198205,1496051.9662848327,1.0,-0.6784898734079059,-0.5990923872086107
dual_low_premium_buy_no_deadband_3bp,2025-09-11,0.0,299400.6274060291,690455.733198205,1510093.2015139963,1.0,-0.6863125495771949,-0.695496828202069
dual_low_premium_buy_no_deadband_3bp,2025-09-12,0.0,299400.6274060291,690455.733198205,1524733.3482887172,1.0,-0.5206260482549685,-0.7007251380124702
dual_low_premium_buy_no_deadband_3bp,2025-09-15,0.0,299400.6274060291,690455.733198205,1523651.833528082,1.0,-0.1204369298811736,-1.0291449359378646e-06
dual_low_premium_buy_no_deadband_3bp,2025-09-16,0.0,299400.6274060291,690455.733198205,1529682.6253717355,1.0,-0.2955959295992461,-0.631479635776111
dual_low_premium_buy_no_deadband_3bp,2025-09-17,383468.0470224982,224550.47055452183,517841.79989865376,1532663.876635307,0.7498029066462149,-0.19880753625222125,0.005958239294301393
dual_low_premium_buy_no_deadband_3bp,2025-09-18,383468.0470224982,224550.47055452183,517841.79989865376,1548529.1297050007,0.7523662683080751,-0.5442040229278078,-0.31963920570681204
dual_low_premium_buy_no_deadband_3bp,2025-09-19,383468.0470224982,224550.47055452183,517841.79989865376,1526206.9221685594,0.7487443927474555,1.6610766576703906,1.8325058458840804
dual_low_premium_buy_no_deadband_3bp,2025-09-22,383468.0470224982,224550.47055452183,517841.79989865376,1542003.4043986984,0.7513182876713357,0.08703107009140343,0.23130640059658703
dual_low_premium_buy_no_deadband_3bp,2025-09-23,383468.0470224982,224550.47055452183,517841.79989865376,1550980.794556122,0.7527577076592727,0.30828024707625357,0.38427160648140113
dual_low_premium_buy_no_deadband_3bp,2025-09-24,383468.0470224982,224550.47055452183,517841.79989865376,1545715.3622109622,0.7519154843140119,-0.7711648415723582,-0.6364928388977953
dual_low_premium_buy_no_deadband_3bp,2025-09-25,383468.0470224982,224550.47055452183,517841.79989865376,1542227.9653625058,0.751354497755873,-0.3395747679025285,-0.18320368238178286
dual_low_premium_buy_no_deadband_3bp,2025-09-26,383468.0470224982,224550.47055452183,517841.79989865376,1525982.3879732543,0.7487074228085919,1.0101002455713326,0.7724069534008615
dual_low_premium_buy_no_deadband_3bp,2025-09-29,383468.0470224982,224550.47055452183,517841.79989865376,1532214.7814761943,0.7497295733871916,-0.04004599525779806,-0.7460466963751688
dual_low_premium_buy_no_deadband_3bp,2025-09-30,383468.0470224982,224550.47055452183,517841.79989865376,1535702.1783246505,0.7502979077357066,-2.0566458758253248e-06,-0.2679397251393767
dual_low_premium_buy_no_deadband_3bp,2025-10-09,0.0,517186.39258118364,517841.79989865376,1600816.9559471686,1.0,-0.5617168073826395,-0.34578446729417456
