holding_days,sample_count,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,ret_5d_bucket,ma20_gap_bucket,resonance_regime,failure_risk_share
30,3,1.0,0.03331288789205641,0.045816508448349946,-0.009632250513283166,0.060017818319829365,0.0011104295964018802,0.3168839585215668,ret5_shallow,ma20_gap_moderate,usd_down_oil_up,1.0
3,4,0.75,0.007988895467814977,0.004818156571251175,-0.0037980657824321917,0.010541799455479783,0.002662965155938326,0.9511147340952566,ret5_shallow,ma20_gap_moderate,usd_up_oil_down,0.5
5,4,1.0,0.017927301420678998,0.0179960918248252,-0.0037980657824321917,0.02136924251116179,0.0035854602841357995,1.4486393985199415,ret5_shallow,ma20_gap_moderate,usd_up_oil_down,0.5
10,4,1.0,0.04597152311042013,0.035744540336821506,-0.0037980657824321917,0.049936219754135314,0.0045971523110420135,2.103848353529502,ret5_shallow,ma20_gap_moderate,usd_up_oil_down,0.5
15,4,1.0,0.05608501992223247,0.05019749423151143,-0.0037980657824321917,0.060355957576563035,0.0037390013281488315,1.5011585586778562,ret5_shallow,ma20_gap_moderate,usd_up_oil_down,0.5
20,4,1.0,0.06555815073215798,0.06036687294951182,-0.0037980657824321917,0.07444666019816581,0.0032779075366078992,1.2257283560792396,ret5_shallow,ma20_gap_moderate,usd_up_oil_down,0.5
30,4,1.0,0.051672118947318435,0.05089008833479092,-0.0037980657824321917,0.0765456438481879,0.0017224039649106145,0.5268452682273872,ret5_shallow,ma20_gap_moderate,usd_up_oil_down,0.5
3,4,0.5,0.00565400053456816,0.005520612355595145,-0.005827726279734963,0.009831304874315827,0.0018846668448560533,0.6057620478791326,ret5_shallow,ma20_gap_moderate,usd_up_oil_up,0.75
5,4,0.5,0.004594721653320782,0.004148659469007165,-0.005882249290408759,0.013844777188326052,0.0009189443306641565,0.2599141533546676,ret5_shallow,ma20_gap_moderate,usd_up_oil_up,0.75
10,4,0.5,0.006613903518693148,0.00785991158874777,-0.00951021785140399,0.019086597850338893,0.0006613903518693148,0.1807166871165189,ret5_shallow,ma20_gap_moderate,usd_up_oil_up,0.75
15,4,0.5,0.011581106269518554,0.008038432792453032,-0.012333253713766035,0.027266568740255237,0.0007720737513012369,0.2134221415121984,ret5_shallow,ma20_gap_moderate,usd_up_oil_up,0.75
20,4,0.5,0.024495912485550914,0.02201351911387628,-0.012333253713766035,0.04387132845521685,0.0012247956242775458,0.35652842347802105,ret5_shallow,ma20_gap_moderate,usd_up_oil_up,0.75
30,4,0.75,0.025984349312152877,0.031016074416661654,-0.016446800564129588,0.054659038226843426,0.0008661449770717626,0.2404583363667816,ret5_shallow,ma20_gap_moderate,usd_up_oil_up,0.75
