config_name,sample_count,terminal_capital,total_return,max_drawdown,win_rate,avg_trade_return,median_trade_return,avg_layers,avg_hold_trading_days,median_repair_days,repair_within_5d,repair_within_10d,cagr,first_entry_weight,allow_second_entry,second_entry_trigger_drawdown,second_entry_requires_parent_signal,second_entry_weight,allow_third_entry,third_entry_trigger_drawdown,third_entry_requires_parent_signal,third_entry_weight,max_total_weight,max_hold_days,rebound_check_day,return_drawdown_ratio
f0.50_s1_-0.04_0_0.40_t0_0.00_0_0.00_h15_r5,61,1790293.8930674607,0.7902938930674608,-0.14863282933941013,0.6721311475409836,0.009835383177691628,0.005878997408505615,1.3278688524590163,13.704918032786885,1.0,0.9672131147540983,0.9672131147540983,0.05810841360310026,0.5,True,-0.04,False,0.4,False,0.0,False,0.0,1.0,15,5,5.317088402204785
f0.50_s1_-0.05_1_0.40_t0_0.00_0_0.00_h15_r7,59,1757742.93856713,0.7577429385671299,-0.14271275123632376,0.6779661016949152,0.009855987364556867,0.005418498536790661,1.271186440677966,13.694915254237289,1.0,0.9661016949152542,0.9830508474576272,0.056227055434953765,0.5,True,-0.05,True,0.4,False,0.0,False,0.0,1.0,15,7,5.309567169035604
f0.50_s1_-0.03_0_0.25_t0_0.00_0_0.00_h20_r7,56,1683649.3865196728,0.6836493865196729,-0.12884884963531062,0.6607142857142857,0.009556045833164063,0.004375362221117618,1.4285714285714286,17.517857142857142,1.0,0.9642857142857143,0.9821428571428571,0.05182450990859566,0.5,True,-0.03,False,0.25,False,0.0,False,0.0,1.0,20,7,5.305824525827361
f0.50_s1_-0.04_1_0.30_t0_0.00_0_0.00_h20_r7,56,1714745.3950305406,0.7147453950305407,-0.13516192509365654,0.625,0.009920219637618919,0.006097675150108906,1.3392857142857142,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.0536930895387826,0.5,True,-0.04,True,0.3,False,0.0,False,0.0,1.0,20,7,5.288067586602355
f0.50_s1_-0.03_1_0.30_t0_0.00_0_0.00_h20_r7,56,1712007.4559972512,0.7120074559972511,-0.13516192509365665,0.6607142857142857,0.009882141707905943,0.004302277545658118,1.4107142857142858,17.285714285714285,1.0,0.9464285714285714,0.9821428571428571,0.05352979883310249,0.5,True,-0.03,True,0.3,False,0.0,False,0.0,1.0,20,7,5.267810853566088
f0.50_s1_-0.05_0_0.25_t0_0.00_0_0.00_h15_r5,61,1617596.3896105955,0.6175963896105956,-0.12077522917958905,0.6721311475409836,0.008095030914799798,0.006460878357115063,1.2950819672131149,13.868852459016393,1.0,0.9672131147540983,0.9672131147540983,0.04774964500079659,0.5,True,-0.05,False,0.25,False,0.0,False,0.0,1.0,15,5,5.113601471144789
f0.50_s1_-0.04_0_0.25_t0_0.00_0_0.00_h20_r7,57,1656098.0547664526,0.6560980547664526,-0.12884884963531074,0.631578947368421,0.009103955347437106,0.004615417062884708,1.3333333333333333,17.12280701754386,1.0,0.9473684210526315,0.9824561403508771,0.05014270901976503,0.5,True,-0.04,False,0.25,False,0.0,False,0.0,1.0,20,7,5.091997768109296
f0.50_s1_-0.04_1_0.35_t0_0.00_0_0.00_h15_r5,61,1724166.70901949,0.7241667090194901,-0.1423752265996171,0.6721311475409836,0.009189200604223855,0.006708168866833786,1.3278688524590163,13.868852459016393,1.0,0.9672131147540983,0.9672131147540983,0.054253183544784145,0.5,True,-0.04,True,0.35,False,0.0,False,0.0,1.0,15,5,5.086325242915804
f0.50_s1_-0.04_0_0.35_t0_0.00_0_0.00_h15_r5,61,1719051.7811922035,0.7190517811922035,-0.1423752265996171,0.6721311475409836,0.00914235516465627,0.005878997408505615,1.3278688524590163,13.704918032786885,1.0,0.9672131147540983,0.9672131147540983,0.05394944668091295,0.5,True,-0.04,False,0.35,False,0.0,False,0.0,1.0,15,5,5.050399555916403
f0.50_s1_-0.05_1_0.35_t0_0.00_0_0.00_h15_r7,59,1680592.274542944,0.680592274542944,-0.13502355693264345,0.6779661016949152,0.00906142041024833,0.005418498536790661,1.271186440677966,13.694915254237289,1.0,0.9661016949152542,0.9830508474576272,0.05163912721082076,0.5,True,-0.05,True,0.35,False,0.0,False,0.0,1.0,15,7,5.04054470200676
f0.50_s1_-0.04_1_0.25_t0_0.00_0_0.00_h20_r7,56,1641479.3189552936,0.6414793189552936,-0.12884884963531062,0.625,0.009108361871873706,0.004713643945040702,1.3392857142857142,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.049240059451885365,0.5,True,-0.04,True,0.25,False,0.0,False,0.0,1.0,20,7,4.978541296805635
f0.50_s1_-0.05_0_0.40_t0_0.00_0_0.00_h15_r7,59,1707959.1062707633,0.7079591062707633,-0.14271275123632365,0.6779661016949152,0.009372796683222233,0.005878997408505615,1.305084745762712,13.966101694915254,1.0,0.9661016949152542,0.9830508474576272,0.053287922578096,0.5,True,-0.05,False,0.4,False,0.0,False,0.0,1.0,15,7,4.960727756543815
f0.50_s1_-0.03_1_0.25_t0_0.00_0_0.00_h20_r7,56,1635150.7014800531,0.635150701480053,-0.12884884963531062,0.6607142857142857,0.009031879363607614,0.0039694458125496546,1.4107142857142858,17.285714285714285,1.0,0.9464285714285714,0.9821428571428571,0.048847038776848484,0.5,True,-0.03,True,0.25,False,0.0,False,0.0,1.0,20,7,4.9294246962837605
f0.50_s1_-0.04_1_0.30_t0_0.00_0_0.00_h15_r5,61,1655290.5935443789,0.6552905935443789,-0.1360676483363168,0.6721311475409836,0.008496253651282969,0.006708168866833786,1.3278688524590163,13.868852459016393,1.0,0.9672131147540983,0.9672131147540983,0.05009303955467326,0.5,True,-0.04,True,0.3,False,0.0,False,0.0,1.0,15,5,4.815917681804163
f0.50_s1_-0.04_0_0.30_t0_0.00_0_0.00_h15_r5,61,1650566.3552369818,0.6505663552369818,-0.1360676483363169,0.6721311475409836,0.008451056659081588,0.005878997408505615,1.3278688524590163,13.704918032786885,1.0,0.9672131147540983,0.9672131147540983,0.049801997646599094,0.5,True,-0.04,False,0.3,False,0.0,False,0.0,1.0,15,5,4.781197905537282
f0.50_s1_-0.05_1_0.30_t0_0.00_0_0.00_h15_r7,59,1606753.3185135918,0.6067533185135918,-0.1272494483291341,0.6779661016949152,0.008269442937260101,0.005418498536790661,1.271186440677966,13.694915254237289,1.0,0.9661016949152542,0.9830508474576272,0.04706641395547817,0.5,True,-0.05,True,0.3,False,0.0,False,0.0,1.0,15,7,4.768219638518261
f0.50_s1_-0.05_0_0.35_t0_0.00_0_0.00_h15_r7,59,1634623.6659679837,0.6346236659679836,-0.13502355693264334,0.6779661016949152,0.008595912401436825,0.005878997408505615,1.305084745762712,13.966101694915254,1.0,0.9661016949152542,0.9830508474576272,0.048814246817272755,0.5,True,-0.05,False,0.35,False,0.0,False,0.0,1.0,15,7,4.70009589722604
f0.50_s1_-0.03_1_0.40_t0_0.00_0_0.00_h15_r5,60,1690061.186318015,0.690061186318015,-0.14863282933941024,0.65,0.009024455429137969,0.005648747972648138,1.3833333333333333,13.666666666666666,1.0,0.9666666666666667,0.9666666666666667,0.05221233499590827,0.5,True,-0.03,True,0.4,False,0.0,False,0.0,1.0,15,5,4.642723881291575
f0.50_s1_-0.03_0_0.40_t0_0.00_0_0.00_h15_r5,60,1678201.581861068,0.678201581861068,-0.14863282933941013,0.65,0.008905246831977794,0.005648747972648138,1.3833333333333333,13.666666666666666,1.0,0.9666666666666667,0.9666666666666667,0.051493943752874305,0.5,True,-0.03,False,0.4,False,0.0,False,0.0,1.0,15,5,4.56293259621912
f0.50_s1_-0.03_1_0.35_t0_0.00_0_0.00_h15_r5,61,1634115.2232941869,0.6341152232941869,-0.1423752265996172,0.639344262295082,0.008301736134449856,0.005418498536790661,1.3770491803278688,13.540983606557377,1.0,0.9672131147540983,0.9672131147540983,0.04878260264804668,0.5,True,-0.03,True,0.35,False,0.0,False,0.0,1.0,15,5,4.45383117863211
