exit_rule,holding_days,exit_day,realized_return,realized_drawdown,realized_runup,trade_date,config_key
hold_15d,15,15,0.01123038847257618,-0.00877127061894023,0.03426504297177102,2016-03-28,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.025144457482451088,-0.024330721637277897,0.02856210829898309,2016-05-24,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.046301589456955394,-0.024330721637277897,0.05476436278036623,2016-05-24,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.03816914685073569,-0.020024519820187936,0.03914999952109732,2016-05-25,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.0593379449006437,-0.020024519820187936,0.07592972980307522,2016-05-25,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.043684984750965494,-0.017293644789890705,0.04745514758842351,2016-05-26,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.05933941960722788,-0.017293644789890705,0.0789279983239719,2016-05-26,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.05816441979393461,-0.0121931522761215,0.060553630782072654,2016-05-27,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.06277800964453983,-0.0121931522761215,0.08452790530449694,2016-05-27,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.05828113591706785,-0.00773791902883969,0.061656156843262755,2016-05-31,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.045851126879363324,-0.00773791902883969,0.0836351428236668,2016-05-31,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.0012635043230222465,-0.01374083846096752,0.006080668779094411,2016-10-04,ret-0.025_ma-0.020_risk0
hold_15d,15,15,-0.0011845533776834172,-0.01374083846096752,0.006159619724433352,2016-10-04,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.0003161748573354828,-0.012883281209989716,0.004979488674726529,2016-10-05,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.0021341079247485517,-0.012883281209989716,0.007034480522876141,2016-10-05,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.012882041092119989,-0.0007201347246756917,0.01736273829739554,2016-10-06,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.020563250254288734,-0.0007201347246756917,0.025364018189628412,2016-10-06,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.010489210769359714,0.0008007046044131716,0.01809590451128429,2016-10-07,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.01809590451128429,0.0008007046044131716,0.02610295055541556,2016-10-07,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.015083818367168877,-0.002474042766111295,0.016839565511522325,2016-10-11,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.026656045023194297,-0.002474042766111295,0.030087750336691865,2016-10-11,ret-0.025_ma-0.020_risk0
hold_10d,10,10,-0.027268201841850415,-0.03619386909527822,0.006632900409533349,2016-11-14,ret-0.025_ma-0.020_risk0
hold_15d,15,15,-0.04389123626683944,-0.05257120352016731,0.006632900409533349,2016-11-14,ret-0.025_ma-0.020_risk0
hold_10d,10,10,-0.043464012395322715,-0.04583331338720387,0.0043301052517361605,2016-11-15,ret-0.025_ma-0.020_risk0
