config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,cagr,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,total_hold_trading_days,return_per_hold_day,partial_exit_ratio,anchor_return_threshold,anchor_window_end_day,trailing_drawdown,trailing_start_offset,unmet_exit_day
p0.50_thr0.005_win20_dd0.008_off2_unmet20,60,2099399.7780388636,1.0993997780388636,-0.14271275123632365,7.703584777917457,0.0745800707436386,0.7333333333333333,0.012651373810766997,0.008872183287385427,16.85,21.0,1011.0,0.0007508233715588723,0.5,0.005,20,0.008,2,20
p0.50_thr0.005_win20_dd0.008_off2_unmet30,60,2059670.922235381,1.059670922235381,-0.14271275123632376,7.425201413716911,0.07259077501223765,0.7166666666666667,0.012330081189327843,0.007725836083139481,19.1,22.0,1146.0,0.0006455539889700441,0.5,0.005,20,0.008,2,30
p0.50_thr0.005_win20_dd0.008_off2_unmet45,59,2031966.3677843476,1.0319663677843476,-0.14271275123632376,7.231073319268249,0.0711829474322172,0.6949152542372882,0.012303948357322203,0.008501457329045614,19.71186440677966,22.0,1163.0,0.0006241899854531471,0.5,0.005,20,0.008,2,45
p0.50_thr0.005_win20_dd0.008_off2_unmet60,59,2036709.3877042744,1.0367093877042746,-0.14271275123632376,7.264308050424632,0.07142519237642886,0.711864406779661,0.012343628761726707,0.008501457329045614,19.728813559322035,22.0,1164.0,0.0006256650317370067,0.5,0.005,20,0.008,2,60
p0.50_thr0.005_win20_dd0.010_off0_unmet20,61,2112417.612257031,1.1124176122570306,-0.14271275123632376,7.7948018142747015,0.07522450625661081,0.7049180327868853,0.012557854212647485,0.008495512471788647,16.37704918032787,21.0,999.0,0.000766795902874371,0.5,0.005,20,0.01,0,20
p0.50_thr0.005_win20_dd0.010_off0_unmet30,60,2018609.1909349742,1.0186091909349742,-0.14271275123632376,7.137478481150001,0.07049798906138505,0.7,0.01199381704265495,0.008682261522230235,18.7,21.0,1122.0,0.0006413805905163074,0.5,0.005,20,0.01,0,30
p0.50_thr0.005_win20_dd0.010_off0_unmet45,59,2007037.4716627453,1.0070374716627453,-0.14271275123632376,7.056394491303385,0.06990127245811584,0.6779661016949152,0.012097620950336877,0.008398616703590456,20.0,21.0,1180.0,0.0006048810475168438,0.5,0.005,20,0.01,0,45
p0.50_thr0.005_win20_dd0.010_off0_unmet60,59,1999658.1287712774,0.9996581287712774,-0.142712751236324,7.004686827989896,0.06951911893479323,0.6949152542372882,0.012033554886169778,0.008398616703590456,20.152542372881356,21.0,1189.0,0.000597123413190931,0.5,0.005,20,0.01,0,60
p0.50_thr0.005_win20_dd0.010_off2_unmet20,60,2106231.429442734,1.106231429442734,-0.14271275123632376,7.7514547218761205,0.0749187136651368,0.7333333333333333,0.012711528381268844,0.008872183287385427,16.883333333333333,21.0,1013.0,0.0007529039515065455,0.5,0.005,20,0.01,2,20
p0.50_thr0.005_win20_dd0.010_off2_unmet30,60,2082168.8402141037,1.0821688402141039,-0.14271275123632376,7.582846177648815,0.0737214976445808,0.7333333333333333,0.01251631448321423,0.008682261522230235,19.75,22.0,1185.0,0.0006337374421880623,0.5,0.005,20,0.01,2,30
p0.50_thr0.005_win20_dd0.010_off2_unmet45,58,2031905.6980869763,1.0319056980869763,-0.14271275123632376,7.23064820170275,0.07117984548268796,0.7068965517241379,0.01251914964794066,0.010826838455742543,21.29310344827586,22.5,1235.0,0.0005879438701057152,0.5,0.005,20,0.01,2,45
p0.50_thr0.005_win20_dd0.010_off2_unmet60,58,2033610.5352166865,1.0336105352166864,-0.14271275123632388,7.242594135860282,0.07126697938843685,0.7241379310344828,0.01253336788928694,0.010826838455742543,21.32758620689655,22.5,1237.0,0.0005876599333699615,0.5,0.005,20,0.01,2,60
p0.50_thr0.005_win20_dd0.012_off0_unmet20,62,2073231.9818288884,1.0732319818288882,-0.14271275123632376,7.520224875012608,0.0732736672219465,0.6935483870967742,0.012049298270598805,0.006414628604594919,16.080645161290324,21.0,997.0,0.0007493044059951112,0.5,0.005,20,0.012,0,20
p0.50_thr0.005_win20_dd0.012_off0_unmet30,60,2030295.982055784,1.030295982055784,-0.14271275123632376,7.219368788915544,0.07109751258189934,0.7,0.012095506939637147,0.0060623762052568475,19.533333333333335,21.5,1172.0,0.0006192239047595809,0.5,0.005,20,0.012,0,30
p0.50_thr0.005_win20_dd0.012_off0_unmet45,58,1993144.7480186708,0.9931447480186708,-0.14271275123632376,6.959047032693544,0.06918075136647506,0.6724137931034483,0.012188103741278843,0.009110454205418256,20.879310344827587,21.0,1211.0,0.0005837407241900684,0.5,0.005,20,0.012,0,45
p0.50_thr0.005_win20_dd0.012_off0_unmet60,58,2003059.500145087,1.003059500145087,-0.14271275123632376,7.028520517301783,0.06969542345742297,0.6896551724137931,0.012274671679300608,0.009110454205418256,21.275862068965516,21.0,1234.0,0.0005769294630465439,0.5,0.005,20,0.012,0,60
p0.50_thr0.005_win20_dd0.012_off2_unmet20,58,2127566.3945772024,1.1275663945772023,-0.14271275123632388,7.900950579461671,0.0759699329021104,0.7586206896551724,0.013325494399984513,0.01006655845172122,17.56896551724138,21.0,1019.0,0.000758467787241513,0.5,0.005,20,0.012,2,20
p0.50_thr0.005_win20_dd0.012_off2_unmet30,56,1997532.0952153378,0.9975320952153379,-0.1472114494008746,6.776185543143028,0.06940878187844324,0.7321428571428571,0.012637055303893644,0.008682261522230235,21.392857142857142,24.0,1198.0,0.0005907137704658131,0.5,0.005,20,0.012,2,30
p0.50_thr0.005_win20_dd0.012_off2_unmet45,54,1972083.0487982002,0.9720830487982002,-0.1472114494008745,6.60331144591275,0.06807972764905634,0.7222222222222222,0.012861151261606852,0.013548896421009676,23.203703703703702,24.0,1253.0,0.0005542714829423544,0.5,0.005,20,0.012,2,45
p0.50_thr0.005_win20_dd0.012_off2_unmet60,54,2020365.7482378231,1.0203657482378232,-0.1472114494008745,6.931293404083296,0.07058829894232943,0.7407407407407407,0.013315519235309126,0.013859110168858907,23.90740740740741,24.0,1291.0,0.00055696207490836,0.5,0.005,20,0.012,2,60
p0.50_thr0.005_win20_dd0.015_off0_unmet20,62,2084825.1295187813,1.0848251295187814,-0.14271275123632365,7.601459015546388,0.0738542710101473,0.6935483870967742,0.012140496250452788,0.006414628604594919,16.129032258064516,21.0,1000.0,0.0007527107675280729,0.5,0.005,20,0.015,0,20
p0.50_thr0.005_win20_dd0.015_off0_unmet30,60,2119166.0446787532,1.119166044678753,-0.14271275123632365,7.842088635972563,0.07555717084527447,0.7,0.012846852982783727,0.0060623762052568475,20.233333333333334,23.0,1214.0,0.0006349350732842039,0.5,0.005,20,0.015,0,30
