symbol,policy_name,signal_date,entry_date,trigger_date,exit_date,signal_index,entry_index,trigger_index,exit_index,entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_trading_days,hold_calendar_days
159937.SZ,time_or_break_ma10,2022-07-07,2022-07-08,2022-07-08,2022-07-11,1580,1581,1581.0,1582,3.67300009727478,3.6659998893737793,break_ma10,-0.0019058556263569226,1050322.574302167,1048320.8111144435,15,3
159937.SZ,time_or_break_ma10,2022-07-11,2022-07-12,2022-07-12,2022-07-13,1582,1583,1583.0,1584,3.6570000648498535,3.6540000438690186,break_ma10,-0.0008203502673326257,1048320.8111144435,1047460.8208567954,15,1
159937.SZ,time_or_break_ma10,2022-07-15,2022-07-18,2022-07-18,2022-07-19,1586,1587,1587.0,1588,3.628999948501587,3.628999948501587,break_ma10,0.0,1047460.8208567954,1047460.8208567954,15,1
159937.SZ,time_or_break_ma10,2022-07-20,2022-07-21,2022-07-21,2022-07-22,1589,1590,1590.0,1591,3.6059999465942383,3.6489999294281006,break_ma10,0.01192456557701127,1047460.8208567954,1059951.3361044524,15,1
159937.SZ,time_or_break_ma10,2022-08-22,2022-08-23,2022-08-23,2022-08-24,1612,1613,1613.0,1614,3.759000062942505,3.7709999084472656,break_ma10,0.0031922972343254585,1059951.3361044524,1063335.0158232183,15,1
159937.SZ,time_or_break_ma10,2022-08-31,2022-09-01,2022-09-01,2022-09-02,1619,1620,1620.0,1621,3.734999895095825,3.7179999351501465,break_ma10,-0.0045515288950878086,1063335.0158232183,1058495.2157735403,15,1
159937.SZ,time_or_break_ma10,2022-09-06,2022-09-07,2022-09-07,2022-09-08,1623,1624,1624.0,1625,3.759000062942505,3.7799999713897705,break_ma10,0.005586567729617631,1058495.2157735403,1064408.5709879354,15,1
159937.SZ,time_or_break_ma10,2022-09-15,2022-09-16,2022-09-16,2022-09-19,1629,1630,1630.0,1631,3.732000112533569,3.736000061035156,break_ma10,0.0010717975297356297,1064408.5709879354,1065549.4014649498,15,3
159937.SZ,time_or_break_ma10,2022-09-19,2022-09-20,2022-09-20,2022-09-21,1631,1632,1632.0,1633,3.75600004196167,3.750999927520752,break_ma10,-0.0013312338618363118,1065549.4014649498,1064130.9060202602,15,1
159937.SZ,time_or_break_ma10,2022-09-26,2022-09-27,2022-09-27,2022-09-28,1636,1637,1637.0,1638,3.734999895095825,3.743000030517578,break_ma10,0.0021419372547393234,1064130.9060202602,1066410.2076517844,15,1
159937.SZ,time_or_break_ma10,2022-10-14,2022-10-17,2022-10-19,2022-10-20,1645,1646,1648.0,1649,3.7909998893737793,3.78600001335144,break_ma10,-0.001318880550842061,1066410.2076517844,1065003.7399696931,15,3
159937.SZ,time_or_break_ma10,2022-10-20,2022-10-21,2022-10-21,2022-10-24,1649,1650,1650.0,1651,3.776999950408936,3.809999942779541,break_ma10,0.008737091025651678,1065003.7399696931,1074308.7745884678,15,3
159937.SZ,time_or_break_ma10,2022-11-03,2022-11-04,2022-11-04,2022-11-07,1659,1660,1660.0,1661,3.799999952316284,3.8310000896453857,break_ma10,0.008157930978447858,1074308.7745884678,1083072.9114211013,15,3
159937.SZ,time_or_break_ma10,2023-02-03,2023-02-06,2023-02-06,2023-02-07,1719,1720,1720.0,1721,4.026999950408936,4.013999938964844,break_ma10,-0.003228212466894309,1083072.9114211013,1079576.521945896,15,1
159937.SZ,time_or_break_ma10,2023-02-07,2023-02-08,2023-02-08,2023-02-09,1721,1722,1722.0,1723,4.007999897003174,4.007999897003174,break_ma10,0.0,1079576.521945896,1079576.521945896,15,1
159937.SZ,time_or_break_ma10,2023-02-09,2023-02-10,2023-02-10,2023-02-13,1723,1724,1724.0,1725,3.997999906539917,3.996999979019165,break_ma10,-0.0002501069395014488,1079576.521945896,1079306.5123660346,15,3
159937.SZ,time_or_break_ma10,2023-02-15,2023-02-16,2023-02-16,2023-02-17,1727,1728,1728.0,1729,4.001999855041504,4.0,break_ma10,-0.0004997139215247026,1079306.5123660346,1078767.167876213,15,1
159937.SZ,time_or_break_ma10,2023-05-18,2023-05-19,2023-05-19,2023-05-22,1789,1790,1790.0,1791,4.329999923706055,4.34499979019165,break_ma10,0.0034641724595592116,1078767.167876213,1082504.2033894465,15,3
159937.SZ,time_or_break_ma10,2023-09-27,2023-09-28,2023-09-28,2023-10-09,1881,1882,1882.0,1883,4.485000133514404,4.413000106811523,break_ma10,-0.016053517181606525,1082504.2033894465,1065126.2035611728,15,11
159937.SZ,time_or_break_ma10,2023-11-10,2023-11-13,2023-11-13,2023-11-14,1907,1908,1908.0,1909,4.527999877929688,4.540999889373779,break_ma10,0.002871027339787613,1065126.2035611728,1068184.2100119211,15,1
159937.SZ,time_or_break_ma10,2024-06-13,2024-06-14,2024-06-14,2024-06-17,2048,2049,2049.0,2050,5.254000186920166,5.295000076293945,break_ma10,0.007803556892869601,1068184.2100119211,1076519.846266814,15,3
159937.SZ,time_or_break_ma10,2024-11-06,2024-11-07,2024-11-07,2024-11-08,2145,2146,2146.0,2147,5.861000061035156,5.900000095367432,break_ma10,0.006654160369585105,1076519.846266814,1083683.1819649145,15,1
159937.SZ,time_or_break_ma10,2024-11-11,2024-11-12,2024-11-12,2024-11-13,2148,2149,2149.0,2150,5.809999942779541,5.803999900817871,break_ma10,-0.001032709470010662,1083683.1819649145,1082564.0520804082,15,1
159937.SZ,time_or_break_ma10,2024-11-13,2024-11-14,2024-11-14,2024-11-15,2150,2151,2151.0,2152,5.715000152587891,5.703999996185303,break_ma10,-0.001924786720715388,1082564.0520804082,1080480.34716864,15,1
159937.SZ,time_or_break_ma10,2024-11-15,2024-11-18,2024-11-18,2024-11-19,2152,2153,2153.0,2154,5.738999843597412,5.811999797821045,break_ma10,0.012719978430575152,1080480.34716864,1094224.0338792854,15,1
159937.SZ,time_or_break_ma10,2024-12-19,2024-12-20,2024-12-20,2024-12-23,2176,2177,2177.0,2178,5.86899995803833,5.909999847412109,break_ma10,0.0069858390981285545,1094224.0338792854,1101868.1069172714,15,3
159937.SZ,time_or_break_ma10,2025-02-28,2025-03-03,2025-03-03,2025-03-04,2220,2221,2221.0,2222,6.438000202178955,6.492000102996826,break_ma10,0.008387682373727667,1101868.1069172714,1111110.226615834,15,1
159937.SZ,time_or_break_ma10,2025-04-07,2025-04-08,2025-04-08,2025-04-09,2245,2246,2246.0,2247,6.863999843597412,6.902999877929688,break_ma10,0.0056818233130722096,1111110.226615834,1117423.3586048128,15,1
159937.SZ,time_or_break_ma10,2025-05-12,2025-05-13,2025-05-13,2025-05-14,2267,2268,2268.0,2269,7.271999835968018,7.290999889373779,break_ma10,0.00261276867908955,1117423.3586048128,1120342.9273574585,15,1
159937.SZ,time_or_break_ma10,2025-05-14,2025-05-15,2025-05-15,2025-05-16,2269,2270,2270.0,2271,7.171999931335449,7.172999858856201,break_ma10,0.00013942101649822014,1120342.9273574585,1120499.1267072172,15,1
159937.SZ,time_or_break_ma10,2025-05-16,2025-05-19,2025-05-19,2025-05-20,2271,2272,2272.0,2273,7.199999809265137,7.203000068664551,break_ma10,0.00041670270540183907,1120499.1267072172,1120966.0417247165,15,1
159937.SZ,time_or_break_ma10,2025-06-27,2025-06-30,2025-06-30,2025-07-01,2300,2301,2301.0,2302,7.275000095367432,7.34600019454956,break_ma10,0.009759463677167401,1120966.0417247165,1131906.069092267,15,1
159937.SZ,time_or_break_ma10,2025-10-28,2025-10-29,2025-10-29,2025-10-30,2380,2381,2381.0,2382,8.652999877929688,8.62399959564209,break_ma10,-0.0033514714777201915,1131906.069092267,1128112.5181862458,15,1
159937.SZ,time_or_break_ma10,2025-10-30,2025-10-31,2025-10-31,2025-11-03,2382,2383,2383.0,2384,8.802000045776367,8.739999771118164,break_ma10,-0.007043884837055203,1128112.5181862458,1120166.2235249016,15,3
159937.SZ,time_or_break_ma10,2026-02-02,2026-02-03,2026-02-03,2026-02-04,2447,2448,2448.0,2449,10.3149995803833,10.770000457763672,break_ma10,0.044110605515261136,1120166.2235249016,1169577.4339223283,15,1
159937.SZ,time_or_break_ma10,2026-03-17,2026-03-18,2026-03-18,2026-03-19,2472,2473,2473.0,2474,10.612000465393066,10.270000457763672,break_ma10,-0.03222766609789507,1169577.4339223283,1131884.6829062465,15,1
159937.SZ,time_or_break_ma10,2026-03-19,2026-03-20,2026-03-20,2026-03-23,2474,2475,2475.0,2476,9.866999626159668,9.4399995803833,break_ma10,-0.04327557129365778,1131884.6829062465,1082901.7266149381,15,3
159937.SZ,time_or_break_ma10,2026-03-23,2026-03-24,2026-03-24,2026-03-25,2476,2477,2477.0,2478,9.16800022125244,9.661999702453612,break_ma10,0.0538830136648587,1082901.7266149381,1141251.7351478299,15,1
159937.SZ,time_or_break_ma10,2026-03-25,2026-03-26,2026-03-26,2026-03-27,2478,2479,2479.0,2480,9.612000465393066,9.331000328063965,break_ma10,-0.029234303342037027,1141251.7351478299,1107888.035732892,15,1
159937.SZ,time_or_fail_to_rebound,2021-01-08,2021-01-11,,2021-02-01,1220,1221,,1236,3.7279999256134033,3.7790000438690186,time_exit,0.013680289504625964,1000000.0,1013680.289504626,15,21
159937.SZ,time_or_fail_to_rebound,2021-02-04,2021-02-05,2021-02-18,2021-02-19,1239,1240,1244.0,1245,3.678999900817871,3.5999999046325684,fail_to_rebound,-0.02147322596223511,1013680.289504626,991913.3035946292,15,14
159937.SZ,time_or_fail_to_rebound,2021-02-19,2021-02-22,2021-02-26,2021-03-01,1245,1246,1250.0,1251,3.66100001335144,3.5899999141693115,fail_to_rebound,-0.01939363532455496,991913.3035946292,972676.4987111404,15,7
159937.SZ,time_or_fail_to_rebound,2021-03-01,2021-03-02,2021-03-08,2021-03-09,1251,1252,1256.0,1257,3.5339999198913574,3.4809999465942383,fail_to_rebound,-0.014997163129179869,972676.4987111404,958089.1105880499,15,7
159937.SZ,time_or_fail_to_rebound,2021-03-30,2021-03-31,,2021-04-22,1272,1273,,1288,3.502000093460083,3.684000015258789,time_exit,0.051970278966750216,958089.1105880499,1007881.2689403164,15,22
159937.SZ,time_or_fail_to_rebound,2021-06-17,2021-06-18,2021-06-24,2021-06-25,1324,1325,1329.0,1330,3.625999927520752,3.621999979019165,fail_to_rebound,-0.001103129779796208,1007881.2689403164,1006769.4450980496,15,7
159937.SZ,time_or_fail_to_rebound,2021-08-06,2021-08-09,,2021-08-30,1360,1361,,1376,3.562999963760376,3.703999996185303,time_exit,0.03957340271093246,1006769.4450980496,1046610.7377859767,15,21
159937.SZ,time_or_fail_to_rebound,2021-09-16,2021-09-17,,2021-10-19,1389,1390,,1405,3.5789999961853027,3.5840001106262207,time_exit,0.0013970702560064385,1046610.7377859767,1048072.9265173544,15,32
159937.SZ,time_or_fail_to_rebound,2021-11-23,2021-11-24,2021-11-30,2021-12-01,1430,1431,1435.0,1436,3.608999967575073,3.5739998817443848,fail_to_rebound,-0.009698001148557789,1048072.9265173544,1037908.7140722168,15,7
159937.SZ,time_or_fail_to_rebound,2022-01-28,2022-02-07,,2022-02-28,1477,1478,,1493,3.618000030517578,3.805999994277954,time_exit,0.05196239971658634,1037908.7140722168,1091840.9415421654,15,21
159937.SZ,time_or_fail_to_rebound,2022-03-16,2022-03-17,,2022-04-11,1505,1506,,1521,3.825000047683716,3.884000062942505,time_exit,0.01542484039824199,1091840.9415421654,1108682.4138057195,15,25
159937.SZ,time_or_fail_to_rebound,2022-04-25,2022-04-26,,2022-05-20,1531,1532,,1547,3.9079999923706055,3.869999885559082,time_exit,-0.009723671158062719,1108682.4138057195,1097901.9505951453,15,24
159937.SZ,time_or_fail_to_rebound,2022-06-14,2022-06-15,,2022-07-06,1563,1564,,1579,3.829999923706055,3.736999988555908,time_exit,-0.02428196788582615,1097901.9505951453,1071242.7306890083,15,21
159937.SZ,time_or_fail_to_rebound,2022-07-06,2022-07-07,2022-07-13,2022-07-14,1579,1580,1584.0,1585,3.67300009727478,3.651000022888184,fail_to_rebound,-0.005989674327239736,1071242.7306890083,1064826.335606758,15,7
159937.SZ,time_or_fail_to_rebound,2022-07-15,2022-07-18,,2022-08-08,1586,1587,,1602,3.628999948501587,3.786999940872192,time_exit,0.04353816329918758,1064826.335606758,1111186.9184916806,15,21
