trade_date,policy_name,selected_flag,future_ret_15d,hold_max_drawdown_15d,hold_max_runup_15d,symbol
2022-09-16,drop_bottom_10pct,1,0.0228126775461725,0.0005367297379563,0.0292538823163099,159937.SZ
2022-09-19,drop_bottom_10pct,1,0.0141749056257154,-0.0029420048572603,0.0256753019591324,159937.SZ
2022-09-20,drop_bottom_10pct,1,0.0133262129719655,-0.0063966330620601,0.0221215198879025,159937.SZ
2022-09-26,drop_bottom_10pct,1,0.0214190533792721,-0.0018741552018818,0.0267738007656843,159937.SZ
2022-10-14,drop_bottom_10pct,1,-0.0018368427450279,-0.0118079441118338,0.0073471207375799,159937.SZ
2022-10-19,drop_bottom_10pct,1,0.0345464240640294,-0.0068565460202866,0.034810118026626,159937.SZ
2022-10-20,drop_bottom_10pct,1,0.039480702340463,-0.0021197395741303,0.0413354902613209,159937.SZ
2023-02-03,drop_bottom_10pct,1,-0.0125367855032121,-0.0206489369508254,-0.0100786359362219,159937.SZ
2023-02-07,drop_bottom_10pct,1,0.001247533575202,-0.0059880064982151,0.0039920836463767,159937.SZ
2023-02-09,drop_bottom_10pct,1,0.0017430203788528,-0.0079680846794445,0.0032370548084921,159937.SZ
2023-02-15,drop_bottom_10pct,1,0.0077538518347168,-0.0030014621774081,0.0197599390822029,159937.SZ
2023-05-18,drop_bottom_10pct,1,-0.0016128961373994,-0.0110599847939492,0.0103686808091727,159937.SZ
2023-09-27,drop_bottom_10pct,1,0.0168700854284706,-0.0370699865681167,0.0213095927355633,159937.SZ
2023-09-28,drop_bottom_10pct,1,0.0356176729013091,-0.0220919865771841,0.0371956642644937,159937.SZ
2023-11-10,drop_bottom_10pct,1,0.0083571821828383,-0.0138552290066329,0.0127556825629866,159937.SZ
2024-11-06,drop_bottom_10pct,1,-0.0160293404941447,-0.0546000455578943,0.0031724918854478,159937.SZ
2024-11-11,drop_bottom_10pct,1,-0.005594167050626,-0.0401762979848194,0.0184776616469029,159937.SZ
2024-11-12,drop_bottom_10pct,1,0.02171289472696,-0.024297741625912,0.0353265422452826,159937.SZ
2024-11-13,drop_bottom_10pct,1,0.0217428690011911,-0.0229508015965774,0.0367557925634141,159937.SZ
2024-11-14,drop_bottom_10pct,1,0.0424296096407745,-0.0031689523929292,0.0577464927072874,159937.SZ
2024-11-15,drop_bottom_10pct,1,0.0382244153390205,0.0095120486845947,0.0583054163392278,159937.SZ
2024-12-19,drop_bottom_10pct,1,0.0375978568772974,-0.0032323200529826,0.0375978568772974,159937.SZ
2025-02-28,drop_bottom_10pct,1,0.0511504956452284,-0.0009328423215504,0.0598569251328613,159937.SZ
2025-04-07,drop_bottom_10pct,1,0.086405353693949,-0.0034969679881974,0.1671281257221515,159937.SZ
2025-04-08,drop_bottom_10pct,1,0.0866038457036491,-0.0057929670492067,0.1600289624182582,159937.SZ
2025-05-12,drop_bottom_10pct,1,0.0139907856821643,-0.0501222437669021,0.0199673779131386,159937.SZ
2025-05-13,drop_bottom_10pct,1,0.0196802043368133,-0.0442804271736315,0.0262402507262855,159937.SZ
2025-05-14,drop_bottom_10pct,1,0.0283590105943973,-0.0373072564323128,0.0337279580971465,159937.SZ
2025-05-15,drop_bottom_10pct,1,0.0579566261308919,0.0126115553647996,0.0640498305292263,159937.SZ
